Genus,Sample,Coverage,Coverage_effective,coverage_est,coverage_est_src,round,n50,qv,indels_per_100kb,error_rate,busco_complete,busco_single,busco_duplicated,busco_fragmented,busco_missing,busco_n,l50,auN,num_contigs,total_length,gc,expected_genome_size,assembly_frac,raw_total_bp,raw_read_n50,raw_read_n90,raw_mean_read_len,raw_n_reads,min_overlap,overlap_based_coverage,ovlp_div_initial,ovlp_median_div_first,ovlp_median_div_last,mean_edge_coverage,read_cov_cutoff,unique_cov_threshold,align_err_consensus,align_err_polishing,asm_total_length,asm_fragments,asm_frag_N50,asm_largest_frag,asm_mean_coverage,polish_mean_contig_cov,polish_selected_cov_threshold,ai_num_contigs,ai_total_bp,ai_mean_cov,ai_median_cov,ai_cov_cv,ai_circular_n,ai_circular_bp_frac,ai_repeat_bp_frac,ai_mult_gt1_n,ai_mult_gt1_bp_frac,ai_alt_groups_n,ai_alt_bp_frac,ai_low_cov_bp_frac,ai_short_bp_frac_10kb,ai_longest_len,ai_longest_cov,delta_qv,delta_busco_complete,delta_n50,delta_num_contigs,delta_error_rate,delta_error_improvement,assembly_error,delta_assembly_error,qv_improvement_rate,busco_per_contig,n50_fraction,cost_benefit_ratio,delta_qv_cumsum,delta_busco_complete_cumsum,score_improvement,gain_cumulative,qv_from_r1,n50_from_r1,error_rate_from_r1,busco_complete_from_r1,assembly_frac_from_r1,delta_qv_trend,delta_busco_complete_trend,score_improvement_trend,is_plateau,plateau_streak,completeness_score,assembly_quality,polishing_effectiveness,optimal_rounds_5class,optimal_rounds_3class,Coverage,r1_ok_group,stable_all_group
Enterococcus,SRR13386177,20X,20X,20.0,log,4,2774147,12.277951723662763,5918.406269592711,0.05918407,82.8,82.8,0.0,14.7,2.6,116,1,2774147.0,1,2774147,37.05,3500000,0.7926134285714286,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,-0.0005900176900652,0.0,-9.0,0.0,8.040000000000824e-06,-8.040000000000824e-06,0.2073865714285714,2.5714285714073526e-06,-0.0001475044225163,41.4,0.9999996395289652,-7.375221125816012e-05,-0.0061198240367303,0.0,-0.0002373579331689,-0.0024648833289778,-0.0061198240367303,10,8.334000000000119e-05,0.0,2.8571428571932955e-06,-0.0013011111875922,0.0,-0.0005227047607511,0,0,0.77899559004,0.3281419594285714,-4.747158663379437e-05,5,3,20X,0,1
Enterococcus,SRR13386177,20X,20X,20.0,log,5,2774126,12.278027306029584,5918.303993892791,0.05918304,82.8,82.8,0.0,14.7,2.6,116,1,2774126.0,1,2774126,37.05,3500000,0.7926074285714285,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,7.558236682037034e-05,0.0,-21.0,0.0,-1.0299999999990872e-06,1.0299999999990872e-06,0.2073925714285714,6.000000000061512e-06,1.5116473364074067e-05,41.4,0.9999996395262364,7.558236682037034e-06,-0.00604424166991,0.0,3.103894672815411e-05,-0.0024338443822497,-0.00604424166991,-11,8.23100000000021e-05,0.0,-3.142857142868216e-06,0.0006656000568856,0.0,0.0002683968798971,1,1,0.77899644288,0.3281394754285714,5.173157788025684e-06,5,3,20X,0,1
Enterococcus,SRR13386177,40X,40X,40.0,log,1,2774412,12.280590546979528,5914.8125369323725,0.05914812,87.9,87.9,0.0,11.2,0.9,116,1,2774412.0,1,2774412,37.05,3500000,0.7926891428571429,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,,,,,,,0.2073108571428571,,,43.95,0.999999639563396,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.82700880252,0.3483868782857143,0.0,3,2,40X,0,0
Enterococcus,SRR13386177,40X,40X,40.0,log,2,2774427,12.27436710815262,5923.294122115784,0.05923294,89.7,89.7,0.0,9.5,0.9,116,1,2774427.0,1,2774427,37.05,3500000,0.7926934285714285,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,-0.0062234388269075,1.7999999999999972,15.0,0.0,8.481999999999934e-05,-8.481999999999934e-05,0.2073065714285714,-4.285714285678921e-06,-0.0031117194134537,44.85,0.9999996395653448,0.4484441402932724,-0.0062234388269075,1.7999999999999972,0.5374932318978076,0.5374932318978076,-0.0062234388269075,15,8.481999999999934e-05,1.7999999999999972,4.285714285678921e-06,,,0.5374932318978076,0,0,0.84386805282,0.3555230027142857,0.1791644106326025,3,2,40X,0,0
Enterococcus,SRR13386177,40X,40X,40.0,log,3,2774447,12.273950671894148,5923.861461917037,0.05923862,89.7,89.7,0.0,9.5,0.9,116,1,2774447.0,1,2774447,37.05,3500000,0.7926991428571428,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,-0.0004164362584724,0.0,20.0,0.0,5.680000000000962e-06,-5.680000000000962e-06,0.2073008571428571,-5.714285714275569e-06,-0.0001388120861574,44.85,0.9999996395679428,-6.940604307873836e-05,-0.0066398750853799,1.7999999999999972,-0.0001682819319603,0.5373249499658472,-0.0066398750853799,35,9.05000000000003e-05,1.7999999999999972,9.99999999995449e-06,0.0058070025684351,-1.7999999999999972,-0.537661513829768,1,1,0.84386295786,0.3555255655714285,-4.207048299009995e-05,3,2,40X,0,0
Enterococcus,SRR13386177,40X,40X,40.0,log,4,2774433,12.274115628664246,5923.636556393398,0.05923637,89.7,89.7,0.0,9.5,0.9,116,1,2774433.0,1,2774433,37.05,3500000,0.7926951428571428,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,0.0001649567700976,0.0,-14.0,0.0,-2.2499999999953117e-06,2.2499999999953117e-06,0.2073048571428571,4.000000000004e-06,4.123919252441155e-05,44.85,0.999999639566124,2.061959626220577e-05,-0.0064749183152823,1.7999999999999972,6.683270803905795e-05,0.5373917826738863,-0.0064749183152823,21,8.825000000000499e-05,1.7999999999999972,5.999999999950489e-06,0.00058139302857,0.0,0.0002351146399994,1,2,0.84386497611,0.3555237715714285,1.336654160781159e-05,3,2,40X,0,0
Enterococcus,SRR13386177,40X,40X,40.0,log,5,2774452,12.27438030572909,5923.276065646721,0.05923276,89.7,89.7,0.0,9.5,0.9,116,1,2774452.0,1,2774452,37.05,3500000,0.7927005714285714,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,0.0002646770648446,0.0,19.0,0.0,-3.610000000001112e-06,3.610000000001112e-06,0.2072994285714285,-5.428571428600648e-06,5.2935412968935226e-05,44.85,0.9999996395685924,2.6467706484467613e-05,-0.0062102412504376,1.7999999999999972,0.000106049968795,0.5374978326426813,-0.0062102412504376,40,8.464000000000388e-05,1.7999999999999972,1.1428571428551138e-05,9.972029474702993e-05,0.0,3.9217260755952665e-05,1,3,0.84386821428,0.3555262062857143,1.7674994799168436e-05,3,2,40X,0,0
Enterococcus,SRR13957660,10X,10X,10.0,log,1,85349,11.049195541280794,7853.811081447858,0.07853811,63.8,63.8,0.0,25.0,11.2,116,11,95800.4,59,2750856,37.59,3500000,0.7859588571428572,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,,,,,,,0.2140411428571428,,,1.0633333333333332,0.0310263310670092,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.58789268582,0.0083573625142857,0.0,2,1,10X,0,0
Enterococcus,SRR13957660,10X,10X,10.0,log,2,85353,11.026254776508466,7895.407101508478,0.07895407,63.8,63.8,0.0,27.6,8.6,116,11,95806.0,58,2746511,37.59,3500000,0.7847174285714286,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,-0.0229407647723274,0.0,4.0,-1.0,0.00041596,-0.00041596,0.2152825714285714,0.0012414285714286,-0.0114703823861637,1.08135593220339,0.0310768713189674,-0.0057351911930818,-0.0229407647723274,0.0,-0.0091353550517881,-0.0091353550517881,-0.0229407647723274,4,0.00041596,0.0,-0.0012414285714286,,,-0.0091353550517881,1,2,0.58762730334,0.008485588464891,-0.003045118350596,2,1,10X,0,0
Enterococcus,SRR13957660,10X,10X,10.0,log,3,85346,11.025953904301574,7895.953642941197,0.07895954,62.1,62.1,0.0,29.3,8.6,116,11,95816.3,58,2744884,37.59,3500000,0.7842525714285714,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,-0.0003008722068926,-1.6999999999999955,-7.0,0.0,5.469999999993536e-06,-5.469999999993536e-06,0.2157474285714286,0.0004648571428571,-0.0001002907356308,1.052542372881356,0.0310927415902669,-0.283383478701148,-0.0232416369792201,-1.6999999999999955,-0.5100749571684701,-0.5192103122202582,-0.0232416369792201,-3,0.00042143,-1.6999999999999955,-0.0017062857142857,0.0226398925654347,-1.6999999999999955,-0.500939602116682,0,0,0.5719661256599999,0.0082545906246973,-0.1275187392921175,2,1,10X,0,0
Enterococcus,SRR13957660,10X,10X,10.0,log,4,85349,11.015327847762077,7915.296887900567,0.07915297,60.3,60.3,0.0,30.2,9.5,116,11,95807.7,58,2743861,37.59,3500000,0.7839602857142857,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,-0.0106260565394968,-1.8000000000000045,3.0,0.0,0.00019343,-0.00019343,0.2160397142857143,0.0002922857142857,-0.0026565141348742,1.0220338983050847,0.0311054273137643,-0.2263282570674376,-0.0338676935187169,-3.5,-0.5442598800443714,-1.0634701922646297,-0.0338676935187169,0,0.00061486,-3.5,-0.0019985714285715,-0.0103251843326042,-0.1000000000000085,-0.0341849228759013,0,0,0.55527075909,0.0080123398692493,-0.1088519760088742,2,1,10X,0,0
Enterococcus,SRR13957660,10X,10X,10.0,log,5,85347,11.016761778585623,7912.684294555229,0.07912684,61.2,61.2,0.0,29.3,9.5,116,11,95817.7,58,2742060,37.59,3500000,0.7834457142857143,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,0.0014339308235467,0.9000000000000057,-2.0,0.0,-2.612999999999921e-05,2.612999999999921e-05,0.2165542857142857,0.0005145714285713,0.0002867861647093,1.0372881355932204,0.0311251281426634,0.0901433930823552,-0.0324337626951702,-2.5999999999999943,0.2706302554722775,-0.792839936792352,-0.0324337626951702,-2,0.00058873,-2.5999999999999943,-0.0025131428571428,0.0120599873630435,2.70000000000001,0.8148901355166489,0,0,0.56357437392,0.0081265894430992,0.0451050425787129,2,1,10X,0,0
Enterococcus,SRR13957660,20X,20X,19.0,log,1,560272,11.081939091998771,7794.819814639784,0.0779482,72.4,72.4,0.0,22.4,5.2,116,2,606388.8,9,2699214,37.66,3500000,0.771204,69914745,3084,1003,,22028,1000,14.0,0.0678068,0.0682846,0.0267129,19.0,4.0,40.0,0.103637,0.083746,2702896,9,560505,979729,25.0,25.0,5.0,9,2702896,25.11111111111111,25.0,0.1414199718097069,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,979729,23.0,,,,,,,0.228796,,,7.24,0.2075684967666525,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.6675655032000001,0.0558351696,0.0,4,2,20X,0,0
