Genus,Sample,Coverage,Coverage_effective,coverage_est,coverage_est_src,round,n50,qv,indels_per_100kb,error_rate,busco_complete,busco_single,busco_duplicated,busco_fragmented,busco_missing,busco_n,l50,auN,num_contigs,total_length,gc,expected_genome_size,assembly_frac,raw_total_bp,raw_read_n50,raw_read_n90,raw_mean_read_len,raw_n_reads,min_overlap,overlap_based_coverage,ovlp_div_initial,ovlp_median_div_first,ovlp_median_div_last,mean_edge_coverage,read_cov_cutoff,unique_cov_threshold,align_err_consensus,align_err_polishing,asm_total_length,asm_fragments,asm_frag_N50,asm_largest_frag,asm_mean_coverage,polish_mean_contig_cov,polish_selected_cov_threshold,ai_num_contigs,ai_total_bp,ai_mean_cov,ai_median_cov,ai_cov_cv,ai_circular_n,ai_circular_bp_frac,ai_repeat_bp_frac,ai_mult_gt1_n,ai_mult_gt1_bp_frac,ai_alt_groups_n,ai_alt_bp_frac,ai_low_cov_bp_frac,ai_short_bp_frac_10kb,ai_longest_len,ai_longest_cov
Pseudomonas,SRR24565792,40X,40X,39.0,log,1,5979858,12.82652758993981,5216.116159998865,0.05216116,96.6,96.6,0.0,1.7,1.7,116,1,5979858.0,1,5979858,58.99,6300000,0.9491838095238095,251326562,16320,4531,,15059,5000,35.0,0.0659638,0.0662792,0.0218966,36.0,7.0,77.0,0.091366,0.051954,5979002,1,5979002,5979002,42.0,42.0,8.0,1,5979002,42.0,42.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5979002,42.0
Pseudomonas,SRR24565792,40X,40X,39.0,log,2,5979408,12.814589523838652,5230.474304733253,0.05230474,98.3,98.3,0.0,0.9,0.9,116,1,5979408.0,1,5979408,59.0,6300000,0.9491123809523809,251326562,16320,4531,,15059,5000,35.0,0.0659638,0.0662792,0.0218966,36.0,7.0,77.0,0.091366,0.051954,5979002,1,5979002,5979002,42.0,42.0,8.0,1,5979002,42.0,42.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5979002,42.0
Pseudomonas,SRR24565792,40X,40X,39.0,log,3,5980028,12.819844448732988,5224.1491317862055,0.05224149,98.3,98.3,0.0,0.9,0.9,116,1,5980028.0,1,5980028,59.0,6300000,0.9492107936507936,251326562,16320,4531,,15059,5000,35.0,0.0659638,0.0662792,0.0218966,36.0,7.0,77.0,0.091366,0.051954,5979002,1,5979002,5979002,42.0,42.0,8.0,1,5979002,42.0,42.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5979002,42.0
Pseudomonas,SRR24565792,40X,40X,39.0,log,4,5980183,12.810691280933494,5235.1709581826535,0.05235171,97.4,97.4,0.0,1.7,0.9,116,1,5980183.0,1,5980183,59.0,6300000,0.9492353968253968,251326562,16320,4531,,15059,5000,35.0,0.0659638,0.0662792,0.0218966,36.0,7.0,77.0,0.091366,0.051954,5979002,1,5979002,5979002,42.0,42.0,8.0,1,5979002,42.0,42.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5979002,42.0
Pseudomonas,SRR24565792,40X,40X,39.0,log,5,5980247,12.810566847101176,5235.3205614405015,0.05235321,98.3,98.3,0.0,0.9,0.9,116,1,5980247.0,1,5980247,59.0,6300000,0.9492455555555556,251326562,16320,4531,,15059,5000,35.0,0.0659638,0.0662792,0.0218966,36.0,7.0,77.0,0.091366,0.051954,5979002,1,5979002,5979002,42.0,42.0,8.0,1,5979002,42.0,42.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5979002,42.0
Pseudomonas,SRR24565792,FULL,113X,113.0,log,1,5979178,12.82142258270397,5222.250327929871,0.05222251,97.4,97.4,0.0,1.7,0.9,116,1,5979178.0,1,5979178,59.0,6300000,0.949075873015873,716810804,16386,4534,,42771,5000,103.0,0.068783,0.0677343,0.0218064,103.0,21.0,215.0,0.090013,0.05188,5978831,1,5978831,5978831,122.0,122.0,24.0,1,5978831,122.0,122.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978831,122.0
Pseudomonas,SRR24565792,FULL,113X,113.0,log,2,5980029,12.815033765472366,5229.938804018667,0.05229939,96.6,96.6,0.0,1.7,1.7,116,1,5980029.0,1,5980029,58.99,6300000,0.9492109523809524,716810804,16386,4534,,42771,5000,103.0,0.068783,0.0677343,0.0218064,103.0,21.0,215.0,0.090013,0.05188,5978831,1,5978831,5978831,122.0,122.0,24.0,1,5978831,122.0,122.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978831,122.0
Pseudomonas,SRR24565792,FULL,113X,113.0,log,3,5979458,12.804243668001622,5242.949253690189,0.05242949,97.4,97.4,0.0,1.7,0.9,116,1,5979458.0,1,5979458,58.99,6300000,0.9491203174603174,716810804,16386,4534,,42771,5000,103.0,0.068783,0.0677343,0.0218064,103.0,21.0,215.0,0.090013,0.05188,5978831,1,5978831,5978831,122.0,122.0,24.0,1,5978831,122.0,122.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978831,122.0
Pseudomonas,SRR24565792,FULL,113X,113.0,log,4,5979398,12.811681901399725,5233.9767644826,0.05233977,98.3,98.3,0.0,0.9,0.9,116,1,5979398.0,1,5979398,59.0,6300000,0.9491107936507936,716810804,16386,4534,,42771,5000,103.0,0.068783,0.0677343,0.0218064,103.0,21.0,215.0,0.090013,0.05188,5978831,1,5978831,5978831,122.0,122.0,24.0,1,5978831,122.0,122.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978831,122.0
Pseudomonas,SRR24565792,FULL,113X,113.0,log,5,5979672,12.812617971565569,5232.848801478071,0.05232849,97.4,97.4,0.0,1.7,0.9,116,1,5979672.0,1,5979672,59.0,6300000,0.9491542857142857,716810804,16386,4534,,42771,5000,103.0,0.068783,0.0677343,0.0218064,103.0,21.0,215.0,0.090013,0.05188,5978831,1,5978831,5978831,122.0,122.0,24.0,1,5978831,122.0,122.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978831,122.0
Pseudomonas,SRR35512756,20X,20X,19.0,log,1,6362891,11.778544862176531,6639.654736008499,0.06639655,91.4,91.4,0.0,5.2,3.4,116,1,6322854.6,2,6403441,59.84,6300000,1.0164192063492064,125350911,19454,6835,,6312,7000,16.0,0.0645222,0.065256,0.0230736,16.0,3.0,40.0,0.080173,0.063938,6403130,2,6362592,6362592,18.0,18.0,4.0,2,6403130,17.5,17.5,0.12121830534626528,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362592,19.0
Pseudomonas,SRR35512756,20X,20X,19.0,log,2,6363402,11.773408700130815,6647.512685556678,0.06647512,91.4,91.4,0.0,6.0,2.6,116,1,6323365.5,2,6403952,59.84,6300000,1.0165003174603175,125350911,19454,6835,,6312,7000,16.0,0.0645222,0.065256,0.0230736,16.0,3.0,40.0,0.080173,0.063938,6403130,2,6362592,6362592,18.0,18.0,4.0,2,6403130,17.5,17.5,0.12121830534626528,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362592,19.0
Pseudomonas,SRR35512756,20X,20X,19.0,log,3,6362907,11.771272872806728,6650.781962389293,0.06650782,91.4,91.4,0.0,6.0,2.6,116,1,6322870.6,2,6403457,59.84,6300000,1.016421746031746,125350911,19454,6835,,6312,7000,16.0,0.0645222,0.065256,0.0230736,16.0,3.0,40.0,0.080173,0.063938,6403130,2,6362592,6362592,18.0,18.0,4.0,2,6403130,17.5,17.5,0.12121830534626528,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362592,19.0
Pseudomonas,SRR35512756,20X,20X,19.0,log,4,6363300,11.773862780461156,6646.816871451826,0.06646817,91.4,91.4,0.0,6.0,2.6,116,1,6323263.5,2,6403850,59.84,6300000,1.016484126984127,125350911,19454,6835,,6312,7000,16.0,0.0645222,0.065256,0.0230736,16.0,3.0,40.0,0.080173,0.063938,6403130,2,6362592,6362592,18.0,18.0,4.0,2,6403130,17.5,17.5,0.12121830534626528,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362592,19.0
Pseudomonas,SRR35512756,20X,20X,19.0,log,5,6362749,11.772908286731528,6648.278441891724,0.06648278,90.5,90.5,0.0,6.0,3.4,116,1,6322712.6,2,6403299,59.84,6300000,1.0163966666666666,125350911,19454,6835,,6312,7000,16.0,0.0645222,0.065256,0.0230736,16.0,3.0,40.0,0.080173,0.063938,6403130,2,6362592,6362592,18.0,18.0,4.0,2,6403130,17.5,17.5,0.12121830534626528,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362592,19.0
Pseudomonas,SRR35512756,10X,10X,9.0,log,1,3464140,11.800016091549924,6606.910078191573,0.0660691,77.6,77.6,0.0,16.4,6.0,116,1,3184444.7,3,6398298,59.84,6300000,1.0156028571428573,62255770,19403,6837,,3142,7000,8.0,0.0611131,0.0617954,0.0234941,8.0,3.0,17.0,0.100656,0.064463,6400579,3,3466360,3466360,9.0,9.0,3.0,3,6400579,9.666666666666666,9.0,0.215344758565462,1,0.006333489517120248,0.0,0,0.0,0,0.0,0.0,0.0,3466360,8.0
Pseudomonas,SRR35512756,10X,10X,9.0,log,2,3464080,11.787753112255947,6625.592297548238,0.06625592,75.0,75.0,0.0,19.0,6.0,116,1,3184264.6,3,6397875,59.84,6300000,1.0155357142857142,62255770,19403,6837,,3142,7000,8.0,0.0611131,0.0617954,0.0234941,8.0,3.0,17.0,0.100656,0.064463,6400579,3,3466360,3466360,9.0,9.0,3.0,3,6400579,9.666666666666666,9.0,0.215344758565462,1,0.006333489517120248,0.0,0,0.0,0,0.0,0.0,0.0,3466360,8.0
Pseudomonas,SRR35512756,10X,10X,9.0,log,3,3464142,11.789430810270664,6623.033535689639,0.06623033,77.6,77.6,0.0,16.4,6.0,116,1,3184234.3,3,6397780,59.84,6300000,1.015520634920635,62255770,19403,6837,,3142,7000,8.0,0.0611131,0.0617954,0.0234941,8.0,3.0,17.0,0.100656,0.064463,6400579,3,3466360,3466360,9.0,9.0,3.0,3,6400579,9.666666666666666,9.0,0.215344758565462,1,0.006333489517120248,0.0,0,0.0,0,0.0,0.0,0.0,3466360,8.0
Pseudomonas,SRR35512756,10X,10X,9.0,log,4,3463979,11.790343687282263,6621.640674270765,0.06621641,77.6,77.6,0.0,16.4,6.0,116,1,3184293.7,3,6397991,59.84,6300000,1.015554126984127,62255770,19403,6837,,3142,7000,8.0,0.0611131,0.0617954,0.0234941,8.0,3.0,17.0,0.100656,0.064463,6400579,3,3466360,3466360,9.0,9.0,3.0,3,6400579,9.666666666666666,9.0,0.215344758565462,1,0.006333489517120248,0.0,0,0.0,0,0.0,0.0,0.0,3466360,8.0
Pseudomonas,SRR35512756,10X,10X,9.0,log,5,3463803,11.786481666669369,6627.531959106159,0.06627532,76.7,76.7,0.0,17.2,6.0,116,1,3184057.5,3,6397494,59.84,6300000,1.015475238095238,62255770,19403,6837,,3142,7000,8.0,0.0611131,0.0617954,0.0234941,8.0,3.0,17.0,0.100656,0.064463,6400579,3,3466360,3466360,9.0,9.0,3.0,3,6400579,9.666666666666666,9.0,0.215344758565462,1,0.006333489517120248,0.0,0,0.0,0,0.0,0.0,0.0,3466360,8.0
Pseudomonas,SRR35512756,40X,40X,40.0,log,1,6363389,11.678686404902503,6794.090907186888,0.06794091,94.8,94.8,0.0,3.4,1.7,116,1,6323360.3,2,6403931,59.84,6300000,1.0164969841269842,254750852,19533,6830,,12801,7000,33.0,0.0702874,0.070197,0.0231006,34.0,7.0,57.0,0.097046,0.065433,6403487,2,6362946,6362946,38.0,38.0,8.0,2,6403487,31.5,31.5,0.3367175148507369,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362946,39.0
Pseudomonas,SRR35512756,40X,40X,40.0,log,2,6363842,11.674032154182804,6801.376957565119,0.06801376,95.7,95.7,0.0,2.6,1.7,116,1,6323817.2,2,6404380,59.84,6300000,1.016568253968254,254750852,19533,6830,,12801,7000,33.0,0.0702874,0.070197,0.0231006,34.0,7.0,57.0,0.097046,0.065433,6403487,2,6362946,6362946,38.0,38.0,8.0,2,6403487,31.5,31.5,0.3367175148507369,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362946,39.0
Pseudomonas,SRR35512756,40X,40X,40.0,log,3,6363343,11.669706290994702,6808.153175869332,0.06808154,95.7,95.7,0.0,2.6,1.7,116,1,6323317.3,2,6403882,59.84,6300000,1.0164892063492064,254750852,19533,6830,,12801,7000,33.0,0.0702874,0.070197,0.0231006,34.0,7.0,57.0,0.097046,0.065433,6403487,2,6362946,6362946,38.0,38.0,8.0,2,6403487,31.5,31.5,0.3367175148507369,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362946,39.0
Pseudomonas,SRR35512756,40X,40X,40.0,log,4,6363382,11.6743092890141,6800.942064404776,0.06800942,95.7,95.7,0.0,2.6,1.7,116,1,6323355.3,2,6403922,59.84,6300000,1.0164955555555555,254750852,19533,6830,,12801,7000,33.0,0.0702874,0.070197,0.0231006,34.0,7.0,57.0,0.097046,0.065433,6403487,2,6362946,6362946,38.0,38.0,8.0,2,6403487,31.5,31.5,0.3367175148507369,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362946,39.0
Pseudomonas,SRR35512756,40X,40X,40.0,log,5,6363651,11.674431259486528,6800.751169842464,0.06800751,95.7,95.7,0.0,2.6,1.7,116,1,6323622.3,2,6404193,59.84,6300000,1.0165385714285715,254750852,19533,6830,,12801,7000,33.0,0.0702874,0.070197,0.0231006,34.0,7.0,57.0,0.097046,0.065433,6403487,2,6362946,6362946,38.0,38.0,8.0,2,6403487,31.5,31.5,0.3367175148507369,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6362946,39.0
Pseudomonas,SRR35512756,FULL,325X,325.0,log,1,6363462,11.666473961648864,6813.223225288862,0.06813223,90.5,90.5,0.0,6.0,3.4,116,1,6323422.6,2,6404015,59.84,6300000,1.0165103174603174,2051581436,19466,6781,,102833,7000,264.0,0.0747256,0.0755909,0.0232583,277.0,55.0,474.0,0.101814,0.064916,6402205,2,6361665,6361665,321.0,321.0,64.0,2,6402205,269.0,269.0,0.2786368728839183,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6361665,322.0
Pseudomonas,SRR35512756,FULL,325X,325.0,log,2,6363430,11.654569099222316,6831.92457116895,0.06831925,94.0,94.0,0.0,4.3,1.7,116,1,6323388.7,2,6403985,59.84,6300000,1.0165055555555556,2051581436,19466,6781,,102833,7000,264.0,0.0747256,0.0755909,0.0232583,277.0,55.0,474.0,0.101814,0.064916,6402205,2,6361665,6361665,321.0,321.0,64.0,2,6402205,269.0,269.0,0.2786368728839183,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6361665,322.0
Pseudomonas,SRR35512756,FULL,325X,325.0,log,3,6363469,11.654533501069071,6831.981187028617,0.06831981,93.1,93.1,0.0,3.4,3.4,116,1,6323430.6,2,6404021,59.84,6300000,1.01651126984127,2051581436,19466,6781,,102833,7000,264.0,0.0747256,0.0755909,0.0232583,277.0,55.0,474.0,0.101814,0.064916,6402205,2,6361665,6361665,321.0,321.0,64.0,2,6402205,269.0,269.0,0.2786368728839183,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6361665,322.0
Pseudomonas,SRR35512756,FULL,325X,325.0,log,4,6363624,11.653822870422411,6833.098925141025,0.06833099,90.5,90.5,0.0,6.9,2.6,116,1,6323582.6,2,6404179,59.84,6300000,1.0165363492063493,2051581436,19466,6781,,102833,7000,264.0,0.0747256,0.0755909,0.0232583,277.0,55.0,474.0,0.101814,0.064916,6402205,2,6361665,6361665,321.0,321.0,64.0,2,6402205,269.0,269.0,0.2786368728839183,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6361665,322.0
Pseudomonas,SRR35512756,FULL,325X,325.0,log,5,6363527,11.652621800344392,6834.988837125772,0.06834989,91.4,91.4,0.0,4.3,4.3,116,1,6323488.6,2,6404079,59.84,6300000,1.0165204761904763,2051581436,19466,6781,,102833,7000,264.0,0.0747256,0.0755909,0.0232583,277.0,55.0,474.0,0.101814,0.064916,6402205,2,6361665,6361665,321.0,321.0,64.0,2,6402205,269.0,269.0,0.2786368728839183,2,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6361665,322.0
Pseudomonas,SRR23886137,10X,10X,9.0,log,1,6549545,10.001390833615403,9996.797700961226,0.09996798,32.8,32.8,0.0,45.7,21.6,116,1,6549545.0,1,6549545,66.26,6300000,1.0396103174603175,61919517,54399,30318,,1238,10000,9.0,0.108472,0.108037,0.0596525,9.0,3.0,17.0,0.154121,0.099629,6561628,1,6561628,6561628,9.0,8.0,3.0,1,6561628,9.0,9.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6561628,9.0
Pseudomonas,SRR23886137,10X,10X,9.0,log,2,6548887,9.977120936020937,10052.820310726638,0.1005282,31.9,31.9,0.0,46.6,21.6,116,1,6548887.0,1,6548887,66.26,6300000,1.039505873015873,61919517,54399,30318,,1238,10000,9.0,0.108472,0.108037,0.0596525,9.0,3.0,17.0,0.154121,0.099629,6561628,1,6561628,6561628,9.0,8.0,3.0,1,6561628,9.0,9.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6561628,9.0
Pseudomonas,SRR23886137,10X,10X,9.0,log,3,6548903,9.977656664675605,10051.576492395969,0.1005158,31.0,31.0,0.0,47.4,21.6,116,1,6548903.0,1,6548903,66.26,6300000,1.0395084126984127,61919517,54399,30318,,1238,10000,9.0,0.108472,0.108037,0.0596525,9.0,3.0,17.0,0.154121,0.099629,6561628,1,6561628,6561628,9.0,8.0,3.0,1,6561628,9.0,9.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6561628,9.0
Pseudomonas,SRR23886137,10X,10X,9.0,log,4,6548845,9.976701904023228,10053.78937259161,0.1005379,30.2,30.2,0.0,48.3,21.6,116,1,6548845.0,1,6548845,66.26,6300000,1.0394992063492063,61919517,54399,30318,,1238,10000,9.0,0.108472,0.108037,0.0596525,9.0,3.0,17.0,0.154121,0.099629,6561628,1,6561628,6561628,9.0,8.0,3.0,1,6561628,9.0,9.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6561628,9.0
Pseudomonas,SRR23886137,10X,10X,9.0,log,5,6548861,9.977207339398714,10052.621305260884,0.1005262,30.2,30.2,0.0,48.3,21.6,116,1,6548861.0,1,6548861,66.26,6300000,1.039501746031746,61919517,54399,30318,,1238,10000,9.0,0.108472,0.108037,0.0596525,9.0,3.0,17.0,0.154121,0.099629,6561628,1,6561628,6561628,9.0,8.0,3.0,1,6561628,9.0,9.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6561628,9.0
Pseudomonas,SRR23886137,20X,20X,19.0,log,1,6533384,9.9966355213324,10007.752674698722,0.1000775,55.2,55.2,0.0,32.8,12.1,116,1,6533384.0,1,6533384,66.28,6300000,1.0370450793650794,123337047,54779,30211,,2452,10000,18.0,0.108538,0.108853,0.0586632,19.0,4.0,33.0,0.160066,0.097732,6534429,1,6534429,6534429,19.0,19.0,4.0,1,6534429,19.0,19.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6534429,19.0
Pseudomonas,SRR23886137,20X,20X,19.0,log,2,6533159,9.984345872805832,10036.109444370964,0.1003611,55.2,55.2,0.0,31.9,12.9,116,1,6533159.0,1,6533159,66.28,6300000,1.037009365079365,123337047,54779,30211,,2452,10000,18.0,0.108538,0.108853,0.0586632,19.0,4.0,33.0,0.160066,0.097732,6534429,1,6534429,6534429,19.0,19.0,4.0,1,6534429,19.0,19.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6534429,19.0
Pseudomonas,SRR23886137,20X,20X,19.0,log,3,6533243,9.984739676676933,10035.20442302042,0.100352,51.7,51.7,0.0,33.6,14.7,116,1,6533243.0,1,6533243,66.28,6300000,1.0370226984126985,123337047,54779,30211,,2452,10000,18.0,0.108538,0.108853,0.0586632,19.0,4.0,33.0,0.160066,0.097732,6534429,1,6534429,6534429,19.0,19.0,4.0,1,6534429,19.0,19.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6534429,19.0
Pseudomonas,SRR23886137,20X,20X,19.0,log,4,6533170,9.983908835590505,10037.118349194565,0.1003712,52.6,52.6,0.0,33.6,13.8,116,1,6533170.0,1,6533170,66.28,6300000,1.037011111111111,123337047,54779,30211,,2452,10000,18.0,0.108538,0.108853,0.0586632,19.0,4.0,33.0,0.160066,0.097732,6534429,1,6534429,6534429,19.0,19.0,4.0,1,6534429,19.0,19.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6534429,19.0
Pseudomonas,SRR23886137,20X,20X,19.0,log,5,6533190,9.984224709567629,10036.39238667563,0.1003639,50.0,50.0,0.0,35.3,14.7,116,1,6533190.0,1,6533190,66.28,6300000,1.0370142857142857,123337047,54779,30211,,2452,10000,18.0,0.108538,0.108853,0.0586632,19.0,4.0,33.0,0.160066,0.097732,6534429,1,6534429,6534429,19.0,19.0,4.0,1,6534429,19.0,19.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6534429,19.0
Pseudomonas,SRR23886137,40X,40X,31.0,log,1,6535169,9.98716387144768,10029.600786113877,0.100296,64.7,64.7,0.0,25.9,9.5,116,1,6535169.0,1,6535169,66.28,6300000,1.0373284126984128,200017325,54969,30831,,3953,10000,30.0,0.108894,0.109488,0.0585285,31.0,6.0,56.0,0.161345,0.097714,6534708,1,6534708,6534708,31.0,31.0,6.0,1,6534708,31.0,31.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,6534708,31.0
