Genus,Sample,Coverage,Coverage_effective,coverage_est,coverage_est_src,round,n50,qv,indels_per_100kb,error_rate,busco_complete,busco_single,busco_duplicated,busco_fragmented,busco_missing,busco_n,l50,auN,num_contigs,total_length,gc,expected_genome_size,assembly_frac,raw_total_bp,raw_read_n50,raw_read_n90,raw_mean_read_len,raw_n_reads,min_overlap,overlap_based_coverage,ovlp_div_initial,ovlp_median_div_first,ovlp_median_div_last,mean_edge_coverage,read_cov_cutoff,unique_cov_threshold,align_err_consensus,align_err_polishing,asm_total_length,asm_fragments,asm_frag_N50,asm_largest_frag,asm_mean_coverage,polish_mean_contig_cov,polish_selected_cov_threshold,ai_num_contigs,ai_total_bp,ai_mean_cov,ai_median_cov,ai_cov_cv,ai_circular_n,ai_circular_bp_frac,ai_repeat_bp_frac,ai_mult_gt1_n,ai_mult_gt1_bp_frac,ai_alt_groups_n,ai_alt_bp_frac,ai_low_cov_bp_frac,ai_short_bp_frac_10kb,ai_longest_len,ai_longest_cov,delta_qv,delta_busco_complete,delta_n50,delta_num_contigs,delta_error_rate,delta_error_improvement,assembly_error,delta_assembly_error,qv_improvement_rate,busco_per_contig,n50_fraction,cost_benefit_ratio,delta_qv_cumsum,delta_busco_complete_cumsum,score_improvement,gain_cumulative,qv_from_r1,n50_from_r1,error_rate_from_r1,busco_complete_from_r1,assembly_frac_from_r1,delta_qv_trend,delta_busco_complete_trend,score_improvement_trend,is_plateau,plateau_streak,completeness_score,assembly_quality,polishing_effectiveness
Enterococcus,SRR13386177,20X,20X,20.0,log,2,2774120,12.277830647855302,5918.5726074912,0.05918572,82.8,82.8,0.0,14.7,2.6,116,1,2774120.0,1,2774120,37.05,3500000,0.7926057142857142,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,-0.0062408998441920716,0.0,-17.0,0.0,8.499000000000007e-05,-8.499000000000007e-05,0.20739428571428575,4.8571428571397846e-06,-0.0031204499220960358,41.4,0.9999996395254569,-0.0015602249610480179,-0.0062408998441920716,0.0,-0.0025128722233911144,-0.0025128722233911144,-0.0062408998441920716,-17,8.499000000000007e-05,0.0,-4.8571428571397846e-06,,,-0.0025128722233911144,0,0,0.7789942238399999,0.3281387657142857,-0.0008376240744637048
Enterococcus,SRR13386177,20X,20X,20.0,log,3,2774156,12.278541741352829,5917.603122186082,0.05917603,82.8,82.8,0.0,14.7,2.6,116,1,2774156.0,1,2774156,37.05,3500000,0.792616,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,0.00071109349752696,0.0,36.0,0.0,-9.689999999999699e-06,9.689999999999699e-06,0.207384,-1.0285714285740433e-05,0.00023703116584232,41.4,0.9999996395301347,0.00011851558292116,-0.0055298063466651115,0.0,0.0002853468275822099,-0.0022275253958089045,-0.0055298063466651115,19,7.530000000000037e-05,0.0,5.428571428600648e-06,0.006951993341719032,0.0,0.0027982190509733243,0,0,0.7790022471599999,0.328143024,7.133670689555248e-05
Enterococcus,SRR13386177,20X,20X,20.0,log,4,2774147,12.277951723662763,5918.406269592711,0.05918407,82.8,82.8,0.0,14.7,2.6,116,1,2774147.0,1,2774147,37.05,3500000,0.7926134285714286,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,-0.0005900176900652809,0.0,-9.0,0.0,8.040000000000824e-06,-8.040000000000824e-06,0.20738657142857142,2.5714285714073526e-06,-0.00014750442251632023,41.4,0.9999996395289653,-7.375221125816012e-05,-0.0061198240367303924,0.0,-0.0002373579331689718,-0.0024648833289778764,-0.0061198240367303924,10,8.334000000000119e-05,0.0,2.8571428571932955e-06,-0.001301111187592241,0.0,-0.0005227047607511817,0,0,0.77899559004,0.32814195942857144,-4.7471586633794364e-05
Enterococcus,SRR13386177,20X,20X,20.0,log,5,2774126,12.278027306029584,5918.303993892791,0.05918304,82.8,82.8,0.0,14.7,2.6,116,1,2774126.0,1,2774126,37.05,3500000,0.7926074285714285,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,7.558236682037034e-05,0.0,-21.0,0.0,-1.0299999999990872e-06,1.0299999999990872e-06,0.20739257142857148,6.000000000061512e-06,1.5116473364074067e-05,41.4,0.9999996395262365,7.558236682037034e-06,-0.006044241669910022,0.0,3.103894672815411e-05,-0.002433844382249722,-0.006044241669910022,-11,8.23100000000021e-05,0.0,-3.142857142868216e-06,0.0006656000568856513,0.0,0.00026839687989712593,1,1,0.77899644288,0.3281394754285714,5.173157788025684e-06
Enterococcus,SRR13386177,40X,40X,40.0,log,1,2774412,12.280590546979528,5914.8125369323725,0.05914812,87.9,87.9,0.0,11.2,0.9,116,1,2774412.0,1,2774412,37.05,3500000,0.7926891428571429,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,,,,,,,0.20731085714285713,,,43.95,0.9999996395633959,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.82700880252,0.3483868782857143,0.0
Enterococcus,SRR13386177,40X,40X,40.0,log,2,2774427,12.27436710815262,5923.294122115784,0.05923294,89.7,89.7,0.0,9.5,0.9,116,1,2774427.0,1,2774427,37.05,3500000,0.7926934285714285,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,-0.006223438826907568,1.7999999999999972,15.0,0.0,8.481999999999934e-05,-8.481999999999934e-05,0.20730657142857145,-4.285714285678921e-06,-0.003111719413453784,44.85,0.9999996395653447,0.4484441402932724,-0.006223438826907568,1.7999999999999972,0.5374932318978076,0.5374932318978076,-0.006223438826907568,15,8.481999999999934e-05,1.7999999999999972,4.285714285678921e-06,,,0.5374932318978076,0,0,0.84386805282,0.3555230027142857,0.17916441063260255
Enterococcus,SRR13386177,40X,40X,40.0,log,3,2774447,12.273950671894148,5923.861461917037,0.05923862,89.7,89.7,0.0,9.5,0.9,116,1,2774447.0,1,2774447,37.05,3500000,0.7926991428571428,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,-0.00041643625847243015,0.0,20.0,0.0,5.680000000000962e-06,-5.680000000000962e-06,0.20730085714285718,-5.714285714275569e-06,-0.00013881208615747673,44.85,0.9999996395679429,-6.940604307873836e-05,-0.006639875085379998,1.7999999999999972,-0.0001682819319603998,0.5373249499658472,-0.006639875085379998,35,9.05000000000003e-05,1.7999999999999972,9.99999999995449e-06,0.005807002568435138,-1.7999999999999972,-0.537661513829768,1,1,0.84386295786,0.35552556557142856,-4.207048299009995e-05
Enterococcus,SRR13386177,40X,40X,40.0,log,4,2774433,12.274115628664246,5923.636556393398,0.05923637,89.7,89.7,0.0,9.5,0.9,116,1,2774433.0,1,2774433,37.05,3500000,0.7926951428571428,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,0.0001649567700976462,0.0,-14.0,0.0,-2.2499999999953113e-06,2.2499999999953113e-06,0.20730485714285718,4.000000000004e-06,4.123919252441155e-05,44.85,0.9999996395661241,2.0619596262205775e-05,-0.006474918315282352,1.7999999999999972,6.683270803905795e-05,0.5373917826738863,-0.006474918315282352,21,8.825000000000499e-05,1.7999999999999972,5.999999999950489e-06,0.0005813930285700764,0.0,0.00023511463999945775,1,2,0.84386497611,0.35552377157142856,1.336654160781159e-05
Enterococcus,SRR13386177,40X,40X,40.0,log,5,2774452,12.27438030572909,5923.276065646721,0.05923276,89.7,89.7,0.0,9.5,0.9,116,1,2774452.0,1,2774452,37.05,3500000,0.7927005714285714,141126665,22299,4078,,7612,4000,44.0,0.0688354,0.0692223,0.0238316,45.0,9.0,94.0,0.097594,0.059922,2774004,1,2774004,2774004,51.0,51.0,10.0,1,2774004,51.0,51.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2774004,51.0,0.0002646770648446761,0.0,19.0,0.0,-3.6100000000011123e-06,3.6100000000011123e-06,0.20729942857142858,-5.428571428600648e-06,5.2935412968935226e-05,44.85,0.9999996395685924,2.6467706484467613e-05,-0.006210241250437676,1.7999999999999972,0.00010604996879501062,0.5374978326426813,-0.006210241250437676,40,8.464000000000388e-05,1.7999999999999972,1.1428571428551138e-05,9.972029474702993e-05,0.0,3.9217260755952665e-05,1,3,0.84386821428,0.3555262062857143,1.7674994799168436e-05
Enterococcus,SRR13957660,10X,10X,10.0,log,1,85349,11.049195541280794,7853.811081447858,0.07853811,63.8,63.8,0.0,25.0,11.2,116,11,95800.4,59,2750856,37.59,3500000,0.7859588571428572,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,,,,,,,0.21404114285714282,,,1.0633333333333332,0.031026331067009298,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.58789268582,0.008357362514285715,0.0
Enterococcus,SRR13957660,10X,10X,10.0,log,2,85353,11.026254776508466,7895.407101508478,0.07895407,63.8,63.8,0.0,27.6,8.6,116,11,95806.0,58,2746511,37.59,3500000,0.7847174285714286,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,-0.022940764772327427,0.0,4.0,-1.0,0.0004159600000000069,-0.0004159600000000069,0.21528257142857143,0.0012414285714286155,-0.011470382386163713,1.0813559322033899,0.031076871318967476,-0.005735191193081857,-0.022940764772327427,0.0,-0.009135355051788112,-0.009135355051788112,-0.022940764772327427,4,0.0004159600000000069,0.0,-0.0012414285714286155,,,-0.009135355051788112,1,2,0.58762730334,0.008485588464891041,-0.0030451183505960373
Enterococcus,SRR13957660,10X,10X,10.0,log,3,85346,11.025953904301574,7895.953642941197,0.07895954,62.1,62.1,0.0,29.3,8.6,116,11,95816.3,58,2744884,37.59,3500000,0.7842525714285714,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,-0.00030087220689267724,-1.6999999999999957,-7.0,0.0,5.469999999993536e-06,-5.469999999993536e-06,0.2157474285714286,0.00046485714285715574,-0.00010029073563089241,1.0525423728813559,0.031092741590266988,-0.28338347870114805,-0.023241636979220104,-1.6999999999999957,-0.5100749571684701,-0.5192103122202582,-0.023241636979220104,-3,0.0004214300000000004,-1.6999999999999957,-0.0017062857142857712,0.02263989256543475,-1.6999999999999957,-0.500939602116682,0,0,0.5719661256599999,0.008254590624697336,-0.12751873929211752
Enterococcus,SRR13957660,10X,10X,10.0,log,4,85349,11.015327847762077,7915.296887900567,0.07915297,60.3,60.3,0.0,30.2,9.5,116,11,95807.7,58,2743861,37.59,3500000,0.7839602857142857,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,-0.010626056539496886,-1.8000000000000043,3.0,0.0,0.00019343000000000832,-0.00019343000000000832,0.21603971428571433,0.0002922857142857449,-0.0026565141348742216,1.0220338983050847,0.03110542731376432,-0.22632825706743764,-0.03386769351871699,-3.5,-0.5442598800443714,-1.0634701922646297,-0.03386769351871699,0,0.0006148600000000087,-3.5,-0.001998571428571516,-0.01032518433260421,-0.10000000000000853,-0.03418492287590136,0,0,0.55527075909,0.008012339869249393,-0.10885197600887428
Enterococcus,SRR13957660,10X,10X,10.0,log,5,85347,11.016761778585623,7912.684294555229,0.07912684,61.2,61.2,0.0,29.3,9.5,116,11,95817.7,58,2742060,37.59,3500000,0.7834457142857143,35258785,3080,1003,,11101,1000,7.0,0.0637991,0.0640163,0.0272546,8.0,3.0,17.0,0.116051,0.084798,2756134,59,85437,194151,12.0,12.0,3.0,59,2756134,11.101694915254235,11.0,0.2846965137002996,0,0.0,0.0013174250598846,0,0.0,2,0.0013174250598846,0.0046616020846591,0.0301502031468716,194151,12.0,0.001433930823546703,0.9000000000000057,-2.0,0.0,-2.612999999999921e-05,2.612999999999921e-05,0.2165542857142857,0.0005145714285713643,0.0002867861647093406,1.0372881355932204,0.031125128142663494,0.09014339308235524,-0.03243376269517029,-2.5999999999999943,0.27063025547227754,-0.792839936792352,-0.03243376269517029,-2,0.0005887300000000095,-2.5999999999999943,-0.0025131428571428804,0.01205998736304359,2.70000000000001,0.8148901355166489,0,0,0.56357437392,0.008126589443099273,0.04510504257871292
Enterococcus,SRR13957660,20X,20X,19.0,log,1,560272,11.081939091998771,7794.819814639784,0.0779482,72.4,72.4,0.0,22.4,5.2,116,2,606388.8,9,2699214,37.66,3500000,0.771204,69914745,3084,1003,,22028,1000,14.0,0.0678068,0.0682846,0.0267129,19.0,4.0,40.0,0.103637,0.083746,2702896,9,560505,979729,25.0,25.0,5.0,9,2702896,25.11111111111111,25.0,0.1414199718097069,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,979729,23.0,,,,,,,0.228796,,,7.24,0.20756849676665254,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.6675655032000001,0.055835169600000005,0.0
Enterococcus,SRR13957660,20X,20X,19.0,log,2,560069,11.067307174793616,7821.126213053245,0.07821126,70.7,69.8,0.9,24.1,5.2,116,2,605825.6,9,2696479,37.66,3500000,0.7704225714285714,69914745,3084,1003,,22028,1000,14.0,0.0678068,0.0682846,0.0267129,19.0,4.0,40.0,0.103637,0.083746,2702896,9,560505,979729,25.0,25.0,5.0,9,2702896,25.11111111111111,25.0,0.1414199718097069,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,979729,23.0,-0.014631917205155887,-1.7000000000000028,-203.0,0.0,0.0002630600000000094,-0.0002630600000000094,0.2295774285714286,0.0007814285714285996,-0.007315958602577943,7.07,0.20770374710733994,-0.4286579793012897,-0.014631917205155887,-1.7000000000000028,-0.5158272360249203,-0.5158272360249203,-0.014631917205155887,-203,0.0002630600000000094,-1.7000000000000028,-0.0007814285714285996,,,-0.5158272360249203,0,0,0.6517046391800001,0.05446887580000001,-0.17194241200830676
